EPOCH,ACC,AUROC,OSCR,TNR,DTACC,AUIN,AUOUT,AUPR
0,83.6,75.78827292110873,66.63464818763335,23.880597014925375,68.41716417910449,78.95720943732547,72.80909836900125,72.939211943554
1,90.2,87.56801705756929,80.94797441364597,46.58848614072495,79.38859275053306,88.9068214441087,86.47483733715247,86.55529625421721
2,91.2,88.22110874200426,82.34498933901907,49.46695095948827,80.17782515991472,89.25788710372503,87.45068260385582,87.52653038592638
3,91.5,89.42004264392325,83.54680170575698,52.23880597014925,81.4001066098081,90.49019927208639,88.41933671375146,88.49460046400873
4,91.6,89.34754797441364,83.37425373134337,54.37100213219617,80.95799573560768,90.35059336533584,88.66087620201543,88.7331394616409
5,91.6,89.49253731343285,83.63336886993591,53.944562899786774,81.07452025586353,90.34856519802238,88.86329768793672,88.93531915085269
6,91.8,89.3767590618337,83.66673773987208,53.41151385927505,80.82782515991472,90.2974891997047,88.588637367961,88.6620242915534
7,92.4,89.50021321961621,84.04072494669506,53.624733475479744,81.47249466950959,90.42261152032705,88.62954438293193,88.70228552359262
8,91.7,90.15671641791046,84.46727078891266,56.18336886993603,81.89189765458423,91.19683575323361,89.34209349681659,89.41365918174515
9,91.5,89.7307036247335,83.77867803837974,53.5181236673774,81.04893390191897,90.82125394495415,88.90638082386192,88.97808084567164
10,91.7,90.2309168443497,84.44552238805964,57.249466950959494,82.62739872068231,91.25988074370841,89.34819629829043,89.41975044582622
11,92.8,90.11492537313433,85.09573560767588,56.71641791044777,81.9042643923241,91.01961063038159,89.48288977271018,89.55296287838677
12,92.5,90.77771855010661,85.63294243070342,56.50319829424306,82.79680170575693,91.79181745298149,89.96054363723245,90.0315080684263
13,92.8,90.55042643923242,85.54573560767578,56.07675906183369,82.28731343283582,91.59855228286233,89.91806000063107,89.98663392198544
14,92.1,90.56577825159916,84.87265458422182,56.07675906183369,82.33731343283583,91.50517019436278,89.87048038926285,89.93974708147692
15,92.8,90.93486140724947,85.73992537313437,58.10234541577826,82.63027718550107,91.84388810853473,90.30940520754487,90.37825130443235
16,92.5,90.59690831556503,85.32883795309145,56.18336886993603,82.42324093816632,91.71444386728179,89.80343970333735,89.87354940816566
17,92.4,90.57515991471216,85.33006396588495,59.275053304904056,82.09925373134328,91.60092392999644,89.86056133188791,89.93010404587577
18,92.9,90.54360341151386,85.57819829424312,56.71641791044777,82.03933901918977,91.55949778651379,89.70981625316269,89.77985493251083
19,91.4,90.60053304904051,84.67110874200421,56.07675906183369,82.29349680170577,91.72152857540718,89.67661415813744,89.747841805836
20,92.6,91.08912579957357,85.87041577825148,57.782515991471215,82.83933901918978,92.08292927761954,90.25416863157845,90.3238515360683
21,92.4,90.66140724946695,85.42883795309159,55.970149253731336,82.08486140724946,91.82528573874447,89.69110520346575,89.76174499406153
22,93.0,91.06044776119403,86.14914712153512,60.3411513859275,82.60383795309168,92.05456859626038,90.33129691863203,90.40055498744687
23,92.3,90.5681236673774,85.10730277185475,55.437100213219615,82.60383795309168,91.58781346540098,89.77530455387367,89.84469628092474
24,92.9,91.06098081023455,86.03667377398727,56.929637526652456,82.66503198294244,92.11024168426101,90.31292019347141,90.38246479138378
25,93.2,90.84339019189765,86.0616737739871,57.995735607675904,82.69765458422174,91.88976847586711,89.8677163246456,89.93863048383577
26,92.9,90.75522388059703,85.75330490405118,60.87420042643923,82.42366737739873,91.76765971721119,89.96274818636037,90.0324088932626
27,92.7,91.18272921108742,86.0215351812365,58.2089552238806,82.87867803837953,92.21732759561422,90.43940186571525,90.5077576017396
28,92.2,90.62388059701493,85.22851812366741,56.28997867803838,82.29477611940298,91.63664102373261,89.86479279873896,89.93402555987487
29,93.3,90.71865671641791,85.94818763326228,57.995735607675904,82.9005330490405,91.62374174878785,90.10259820231848,90.17119022660903
30,93.5,91.42046908315564,86.86929637526649,61.513859275053306,83.18400852878464,92.38113423416677,90.58585352445752,90.6550508999703
31,92.7,90.83443496801706,85.7457356076759,57.56929637526653,82.22537313432836,91.92229290042829,90.000190555615,90.06936639029487
32,92.9,91.06087420042644,86.11332622601275,58.4221748400853,82.85714285714286,92.0869917180791,90.20221083037146,90.27201342197775
33,93.1,91.12409381663113,86.34861407249453,58.31556503198294,82.98400852878464,92.2080740384155,90.10955657595167,90.18129455354187
34,93.3,91.07185501066098,86.43187633262276,59.488272921108745,82.5452025586354,92.06751964446063,90.30990514384087,90.37834542546084
35,93.1,91.20106609808103,86.33496801705745,58.4221748400853,82.99562899786781,92.16140607722964,90.38794648789893,90.45676421096198
36,92.7,90.96407249466951,86.02505330490395,57.782515991471215,82.7179104477612,92.00743422172565,90.08345405555491,90.15332654618308
37,93.1,90.87110874200427,86.12153518123677,56.28997867803838,82.78027718550106,91.92718327233155,89.91488190020699,89.98522045153963
38,93.0,91.07228144989338,86.13171641791048,57.56929637526653,83.0868869936034,92.12792726864215,90.22141596346532,90.29048551783431
39,93.2,91.3186567164179,86.58811300639653,58.74200426439232,83.13240938166312,92.30078177786116,90.58843380411109,90.65553031463722
40,93.4,90.81855010660982,86.22590618336893,58.2089552238806,82.6952025586354,91.91654448993825,89.84546192995622,89.91578265192993
41,93.4,91.54882729211087,86.85223880597006,59.06183368869936,83.61503198294244,92.54493344389032,90.68744664436365,90.75575408667056
42,93.4,91.29040511727078,86.61242004264385,57.46268656716418,83.14765458422174,92.21220596568355,90.60435080600617,90.67222613800011
43,93.2,91.35970149253731,86.74077825159921,58.4221748400853,83.48816631130063,92.33911328550988,90.44158938956681,90.51216307290365
44,92.9,91.10639658848613,86.22388059701493,57.356076759061835,83.29477611940298,92.11916309996353,90.14922647208996,90.21895274944652
45,93.1,91.03496801705757,86.26465884861406,57.995735607675904,83.1315565031983,92.03350161197679,90.19621592171802,90.26517234038872
46,93.4,91.07761194029851,86.5327825159915,57.56929637526653,82.81257995735608,92.05262182157007,90.30336053183554,90.37244775335331
47,92.7,91.4640724946695,86.4899786780383,59.594882729211086,83.63155650319828,92.42946338439228,90.64132738221527,90.71028826978961
48,92.7,91.44179104477611,86.40692963752657,58.74200426439232,83.60511727078891,92.41296737719014,90.63312055390556,90.70256703252298
49,93.3,90.97420042643924,86.42212153518129,58.31556503198294,83.34477611940298,91.98593097187921,90.09607082346305,90.16534565542892
50,93.4,91.07398720682302,86.56284648187635,57.782515991471215,83.11172707889125,92.13258471934668,90.15474208303,90.22434211030205
51,92.9,90.91215351812366,86.02862473347554,57.782515991471215,82.5546908315565,91.97974429887886,90.02370982843692,90.09333146894876
52,92.6,91.04818763326226,85.94355010660988,58.2089552238806,82.89189765458423,92.08525010803321,90.19035269974196,90.25972760779753
53,93.1,91.01791044776118,86.21417910447747,56.71641791044777,82.8046908315565,92.03718446623375,90.21462485165975,90.28368824040753
54,92.9,91.03923240938167,86.04685501066095,57.356076759061835,83.1315565031983,92.05454502780681,90.19793798779,90.26682750715803
55,92.8,91.00842217484009,86.00613006396586,56.60980810234542,82.95799573560768,92.02245719823865,90.15517712072297,90.2253796200261
56,92.8,91.00788912579957,86.03406183368871,56.71641791044777,82.99477611940299,92.03189099219463,90.14971363498907,90.21919499506622
57,93.1,90.98411513859276,86.1976545842219,57.356076759061835,82.9918976545842,92.00331782170016,90.12343669940711,90.1925324636436
58,92.9,90.99104477611941,86.09925373134304,56.60980810234542,83.00138592750534,92.0165662904335,90.12606964774882,90.19516034748659
59,93.0,90.98678038379532,86.17468017057568,56.18336886993603,82.95138592750533,92.01414896708728,90.12066373557492,90.18989509108748
